OutOfScope,Intrusion,Infiltration,,,,,Propagation,,,
Command and Control,Initial Access,Execution,Persistence,Privilege Escalation,Defense Evasion,Credentials Access,Discovery,Lateral Movement,Collection,Exfiltration
T1568: Dynamic Resolution,T1190: Exploit Public-Facing Application,T1059.001: PowerShell,T1098.002: Additional Email Delegate Permissions,T1098.002: Additional Email Delegate Permissions,T1070.004: File Deletion,T1555.003: Credentials from Web Browsers,T1016.001: Internet Connection Discovery,T1021.001: Remote Desktop Protocol,T1005: Data from Local System,T1048.002: Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
T1665: Hide Infrastructure,T1133: External Remote Services,T1053.005: Scheduled Task,T1098.005: Device Registration,T1098.005: Device Registration,T1070.006: Timestomp,T1606.002: SAML Tokens,T1087.002: Domain Account,T1021.002: SMB/Windows Admin Shares,T1114.002: Remote Email Collection,
T1105: Ingress Tool Transfer,T1199: Trusted Relationship,T1047: Windows Management Instrumentation,T1546.003: Windows Management Instrumentation Event Subscription,T1546.003: Windows Management Instrumentation Event Subscription,T1036.005: Match Legitimate Name or Location,T1606.001: Web Cookies,T1482: Domain Trust Discovery,T1021.006: Windows Remote Management,T1560.001: Archive via Utility,
T1071.001: Web Protocols,T1078.004: Cloud Accounts,T1059.005: Visual Basic,T1133: External Remote Services,T1053.005: Scheduled Task,T1078.004: Cloud Accounts,T1003.006: DCSync,T1083: File and Directory Discovery,T1550.001: Application Access Token,T1213.003: Code Repositories,
T1001.002: Steganography,T1078.002: Domain Accounts,T1059.003: Windows Command Shell,T1053.005: Scheduled Task,T1078.004: Cloud Accounts,T1078.002: Domain Accounts,T1558.003: Kerberoasting,T1069.002: Domain Groups,T1550.004: Web Session Cookie,T1074.002: Remote Data Staging,
T1090.001: Internal Proxy,T1078.003: Local Accounts,T1651: Cloud Administration Command,T1078.004: Cloud Accounts,T1078.002: Domain Accounts,T1078.003: Local Accounts,T1539: Steal Web Session Cookie,T1057: Process Discovery,T1021.007: Cloud Services,,
T1102.002: Bidirectional Communication,T1078: Valid Accounts,T1059.009: Cloud API,T1078.002: Domain Accounts,T1078.003: Local Accounts,T1140: Deobfuscate/Decode Files or Information,T1552.004: Private Keys,T1018: Remote System Discovery,T1550.003: Pass the Ticket,,
T1573: Encrypted Channel,T1195.002: Compromise Software Supply Chain,T1059.006: Python,T1078.003: Local Accounts,T1098.001: Additional Cloud Credentials,T1484.002: Trust Modification,T1110.001: Password Guessing,T1082: System Information Discovery,,,
T1090.004: Domain Fronting,T1566.001: Spearphishing Attachment,T1203: Exploitation for Client Execution,T1098.001: Additional Cloud Credentials,T1098.003: Additional Cloud Roles,T1562.004: Disable or Modify System Firewall,T1110.003: Password Spraying,T1087.004: Cloud Account,,,
T1090.002: External Proxy,T1566.002: Spearphishing Link,T1204.002: Malicious File,T1098.003: Additional Cloud Roles,T1484.002: Trust Modification,T1562.001: Disable or Modify Tools,T1556.007: Hybrid Identity,,,,
T1090.003: Multi-hop Proxy,T1566.003: Spearphishing via Service,T1204.001: Malicious Link,T1547.001: Registry Run Keys / Startup Folder,T1548.002: Bypass User Account Control,T1562.002: Disable Windows Event Logging,T1621: Multi-Factor Authentication Request Generation,,,,
,,,T1037.004: RC Scripts,T1547.001: Registry Run Keys / Startup Folder,T1070.008: Clear Mailbox Data,T1003.004: LSA Secrets,,,,
,,,T1136.003: Cloud Account,T1037.004: RC Scripts,T1036.004: Masquerade Task or Service,T1003.002: Security Account Manager,,,,
,,,T1546.008: Accessibility Features,T1546.008: Accessibility Features,T1027.003: Steganography,T1528: Steal Application Access Token,,,,
,,,T1556.007: Hybrid Identity,T1068: Exploitation for Privilege Escalation,T1553.002: Code Signing,T1649: Steal or Forge Authentication Certificates,,,,
,,,,,T1218.011: Rundll32,,,,,
,,,,,T1550.001: Application Access Token,,,,,
,,,,,T1550.004: Web Session Cookie,,,,,
,,,,,T1548.002: Bypass User Account Control,,,,,
,,,,,T1562.008: Disable or Modify Cloud Logs,,,,,
,,,,,T1556.007: Hybrid Identity,,,,,
,,,,,T1027.001: Binary Padding,,,,,
,,,,,T1027.006: HTML Smuggling,,,,,
,,,,,T1027.002: Software Packing,,,,,
,,,,,T1553.005: Mark-of-the-Web Bypass,,,,,
,,,,,T1218.005: Mshta,,,,,
,,,,,T1550.003: Pass the Ticket,,,,,
